Date,Total,Desktop,Android,Desktop/nightly,Desktop/aurora,Desktop/beta,Desktop/release,Android/nightly,Android/aurora,Android/beta,Android/release
2015-11-20,103376323,98465373,4910950,44210,115086,2055600,96250477,3631,1343,95911,4810065
2015-11-21,80114109,75242778,4871331,38132,86842,1789780,73328024,2497,1459,96598,4770777
2015-11-22,80146872,75244946,4901926,38496,86493,1526563,73593394,1960,1496,97222,4801248
2015-11-23,111630973,106671923,4959050,43654,112910,2258309,104257050,1044,1197,93420,4863389
2015-11-24,111318968,106267840,5051128,44047,114767,2260628,103848398,986,1272,95732,4953138
2015-11-25,108199501,103139451,5060050,42668,113351,2192865,100790567,1017,1286,96583,4961164
2015-11-26,102489168,97396317,5092851,41236,108771,2186619,95059691,1063,1263,97250,4993275
2015-11-27,99331715,94200541,5131174,40139,104651,2087019,91968732,1044,1233,98433,5030464
2015-11-28,79534485,74431095,5103390,35590,81169,1838641,72475695,1133,1324,98594,5002339
2015-11-29,81190288,75993588,5196700,36356,82113,1593047,74282072,1145,1361,100913,5093281
2015-11-30,114376103,109093714,5282389,44433,116183,2311384,106621714,1145,1365,101496,5178383
2015-12-01,113432665,108147465,5285200,44417,116904,2299645,105686499,1145,1294,98011,5184750
2015-12-02,111730480,106499128,5231352,44420,116516,2239240,104098952,1182,1300,98511,5130359
2015-12-03,110869669,105630799,5238870,43930,115944,2258792,103212133,1209,1296,99485,5136880
2015-12-04,105144998,99940281,5204717,42136,110493,2128757,97658895,1226,1328,98369,5103794
2015-12-05,80554496,75413716,5140780,36342,82190,1859616,73435568,1180,1369,98361,5039870
2015-12-06,80755230,75540052,5215178,37041,82323,1588484,73832204,1234,1358,99747,5112839
2015-12-07,111428775,106181349,5247426,44477,115155,2343194,103678523,1178,1353,97302,5147593
2015-12-08,109448779,104358636,5090143,44719,114775,2339587,101859555,1188,1401,97933,4989621
2015-12-09,111284741,106191213,5093528,44360,116747,2235624,103794482,1216,1350,98193,4992769
2015-12-10,110335211,105232736,5102475,44349,116180,2272264,102799943,1199,1328,99971,4999977
2015-12-11,104641151,99602552,5038599,42883,111083,2156046,97292540,1187,1389,98714,4937309
2015-12-12,80168605,75154960,5013645,36703,83399,1809284,73225574,1250,1427,99034,4911934
2015-12-13,81086346,76004110,5082236,37379,83656,1609288,74273787,1192,1507,101336,4978201
2015-12-14,113453348,108318209,5135139,45666,118542,2315990,105838011,1245,1396,98991,5033507
2015-12-15,112344062,107180981,5163081,45757,119231,2310594,104705399,1257,1421,100055,5060348
2015-12-16,110220006,105070251,5149755,44983,117729,2241351,102666188,1248,1430,100231,5046846
2015-12-17,108664551,103549044,5115507,44576,116593,2224233,101163642,1296,1417,101331,5011463
2015-12-18,102288353,97226727,5061626,42308,110483,2074600,94999336,1244,1440,101170,4957772
2015-12-19,78717839,73693318,5024521,36621,83078,1800611,71773008,1245,1552,100766,4920958
2015-12-20,77688036,72598796,5089240,36406,81995,1519059,70961336,1319,1604,102500,4983817
2015-12-21,104571340,99408252,5163088,44028,112743,2246257,97005224,1268,1562,102136,5058122
2015-12-22,101600408,96436182,5164226,43398,111046,2206804,94074934,1301,1658,102678,5058589
2015-12-23,95660569,90548742,5111827,41477,104793,2119977,88282495,1315,1564,103529,5005419
2015-12-24,77374333,72396345,4977988,35751,86837,1672037,70601720,1313,1652,98899,4876124
2015-12-25,68748159,63774548,4973611,33169,75739,1373476,62292164,1281,1626,99269,4871435
2015-12-26,71783684,66689219,5094465,34076,75552,1616455,64963136,1333,1681,101924,4989527
2015-12-27,72845071,67701502,5143569,34635,76893,1424934,66165040,1317,1791,102956,5037505
2015-12-28,96171175,90885484,5285691,41165,101041,2115395,88627883,1334,1769,106681,5175907
2015-12-29,94876306,89615997,5260309,41229,100641,2054037,87420090,1308,1775,100648,5156578
2015-12-30,92789588,87551204,5238384,40489,98375,2055078,85357262,1310,1788,101206,5134080
2015-12-31,77745977,72699514,5046463,30956,73618,1811839,70783101,1311,1812,97541,4945799
2016-01-01,68774683,63665131,5109552,29123,64736,1419538,62151734,1298,1747,98917,5007590
2016-01-02,76147753,70946350,5201403,31057,70339,1676594,69168360,1293,1744,101683,5096683
2016-01-03,77702920,72439676,5263244,32073,71906,1466451,70869246,1372,1771,103680,5156421
2016-01-04,105870808,100515876,5354932,38452,99648,2217815,98159961,1401,1753,106058,5245720
2016-01-05,103807892,98717985,5089907,39125,102801,2125545,96450514,1371,1693,103733,4983110
2016-01-06,100560216,95426380,5133836,38422,101455,2137149,93149354,1275,1489,104646,5026426
2016-01-07,104323822,99187664,5136158,38771,104066,2117967,96926860,1278,1491,105070,5028319
2016-01-08,100874230,95730815,5143415,38111,102228,2022337,93568139,1262,1529,106407,5034217
2016-01-09,79962603,74859266,5103337,33345,78166,1749869,72997886,1259,1513,107160,4993405
2016-01-10,79786532,74648663,5137869,33839,78238,1505401,73031185,1229,1601,107671,5027368
2016-01-11,110905098,105691430,5213668,40627,109166,2291959,103249678,1320,1496,109029,5101823
2016-01-12,111002284,105781936,5220348,41009,111195,2290034,103339698,1305,1551,110471,5107021
2016-01-13,109845742,104634877,5210865,40979,111609,2080116,102402173,1301,1522,109262,5098780
2016-01-14,108299009,103061591,5237418,40461,110181,1993058,100917891,1314,1633,108601,5125870
2016-01-15,103346948,98128868,5218080,39104,105348,1801145,96183271,1291,1544,110029,5105216
2016-01-16,80422761,75254582,5168179,33984,79579,1632114,73508905,1219,1602,110328,5055030
2016-01-17,80079148,74864771,5214377,34101,79753,1409648,73341269,1356,1688,111411,5099922
2016-01-18,104516995,99251464,5265531,41348,110978,2136414,96962724,1334,1614,109209,5153374
2016-01-19,106036962,100743406,5293556,41807,112932,2126726,98461941,1283,1628,111075,5179570
2016-01-20,105667340,100369878,5297462,41416,112820,2119432,98096210,1308,1663,112042,5182449
2016-01-21,104984739,99820902,5163837,41239,112487,2091543,97575633,1318,1664,112117,5048738
2016-01-22,100298053,95115029,5183024,39745,107432,1971165,92996687,1323,1630,112302,5067769
