Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%,Total/Delta,Total/Delta%
2016-02-29,-4128498.400000006,-4.399884414666589,731579.9000000004,13.54825337641066,-3396918.5000000056,-0.03423216204870059
2016-03-01,-3895814.200000003,-4.102385857821393,734196.166666667,13.58110903128612,-3161618.033333336,-0.031499441052833296
2016-03-02,-4698756.13333334,-4.942794094729542,735337.4666666668,13.593587072169594,-3963418.6666666735,-0.03944791490113546
2016-03-03,-4524544.799999997,-4.756534139227649,721132.5333333332,13.357289135841704,-3803412.266666664,-0.03783679726102128
2016-03-04,-4443829.966666669,-4.676506837987237,707979,13.138374120287388,-3735850.9666666687,-0.03720478207426579
2016-03-05,-4898043.099999994,-5.199864863870856,696601.7999999998,12.95109044918917,-4201441.299999994,-0.042194034679326545
2016-03-06,-4529287.86666666,-4.842330586730239,685444.5,12.762601706357435,-3843843.3666666597,-0.03886359550720341
2016-03-07,-2561140.0333333313,-2.706205000440693,676656.0666666664,12.609844962074328,-1884483.966666665,-0.01884377762507844
2016-03-08,-2365351.099999994,-2.470487726896111,667238.833333333,12.443142728651472,-1698112.266666661,-0.016795266538272045
2016-03-09,-3123553.5666666776,-3.2559356254724148,656770.0333333332,12.262219539728934,-2466783.5333333444,-0.024353630427366074
2016-03-10,-2916571.3333333284,-3.036624557498014,685374.7000000002,12.814337735291259,-2231196.633333328,-0.022004998836735703
2016-03-11,-2949694.700000003,-3.0756487538873634,716056.2333333334,13.401576061284665,-2233638.4666666696,-0.02206109049547895
2016-03-12,-3620284.1666666716,-3.810376045519636,752151.1000000006,14.07760412274149,-2868133.066666671,-0.028580129675484813
2016-03-13,-3428285.299999997,-3.6376272449095017,794498.6333333338,14.848991631807879,-2633786.6666666633,-0.02644480449322894
2016-03-14,-1445227.6666666567,-1.513535500480715,859704.5,15.971825898608364,-585523.1666666567,-0.005804759244403167
2016-03-15,-1521003.1666666567,-1.5765391645362097,908765.833333333,16.82747475422809,-612237.3333333237,-0.0060095243300475444
2016-03-16,-2584024.8333333284,-2.6795105743858545,958568.9333333336,17.69000840028889,-1625455.8999999948,-0.01595850464677967
2016-03-17,-2921820.200000003,-3.0346202293812037,1004163.166666667,18.470183070287074,-1917657.033333336,-0.01885239100233365
2016-03-18,-3364775.2333333343,-3.506141433611856,1051070.3999999994,19.265374507908952,-2313704.833333335,-0.0228122499893126
2016-03-19,-4422841.300000012,-4.660729570018973,1098371.666666666,20.058763490577117,-3324469.633333346,-0.03312159325248928
2016-03-20,-4556847.533333331,-4.847711883238345,1148651.666666667,20.89004135203132,-3408195.8666666644,-0.03425373180322686
2016-03-21,-3153121.400000006,-3.3253073532607145,1199571.166666666,21.71280722960943,-1953550.23333334,-0.019468012418936573
2016-03-22,-3359981.3666666746,-3.511175256938745,1253438.0999999996,22.57998858328701,-2106543.266666675,-0.020806387907874882
2016-03-23,-4621778.100000009,-4.8404588307657574,1304713.666666667,23.4045501841284,-3317064.433333342,-0.03282374760710763
2016-03-24,-5149371.766666666,-5.416705033684923,1357300.9666666668,24.24271039679619,-3792070.799999999,-0.037670780466138705
2016-03-25,-6003390.666666672,-6.37159429698964,1412377.6333333328,25.107928857158058,-4591013.033333339,-0.04598075901691364
2016-03-26,-7080973.433333337,-7.614464439588038,1463374.0333333337,25.909999839763802,-5617599.400000004,-0.0569495810876796
2016-03-27,-7308651.800000012,-7.957936814121762,1518963.0999999996,26.776113727857055,-5789688.700000012,-0.05937297810274016
2016-03-28,-6069472.900000006,-6.574625610996719,1582777.2999999993,27.737184086691535,-4486695.600000007,-0.04577188030875902
