Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%
2016-02-28,-1964346.4285714328,-2.037125915259611,740993.8571428573,13.62685172506812
2016-02-29,-1714397,-1.7686470964381307,717972.2857142854,13.216964852745727
2016-03-01,-1942550.4285714328,-1.996611544135718,710863.1428571427,13.077978840660625
2016-03-02,-1969604.7142857164,-2.020802857460465,713504.5714285709,13.099888151356248
2016-03-03,-1986976.2857142985,-2.0360550077339234,650423.7142857146,12.046900975745412
2016-03-04,-1884800.1428571492,-1.9294388574624937,598006.2857142854,11.16303911265385
2016-03-05,-1594731.1428571492,-1.630691210662323,556410.4285714291,10.466151523537096
2016-03-06,-1488230.5714285672,-1.5225867184215236,509178,9.65223062711121
2016-03-07,-1648627.571428582,-1.6942040168456038,466208.8571428573,8.910149238205452
2016-03-08,-1858144.4285714328,-1.917755759565853,421625.4285714282,8.113832246188815
2016-03-09,-2587351.2857142836,-2.6884697846551364,375536.71428571455,7.281811605194818
2016-03-10,-3232707.2857142836,-3.3788913616180425,562739,10.875382343732188
2016-03-11,-3902916.8571428508,-4.100350465940362,755060.2857142854,14.518001818821668
2016-03-12,-4696377.571428567,-4.957820935027459,955227.1428571427,18.222020221333043
2016-03-13,-5360941,-5.690055431911908,1182778.8571428568,22.271336579263725
2016-03-14,-5919526.142857134,-6.300771649639507,1425874.8571428573,26.404190248755548
2016-03-15,-6495583.428571433,-6.930801663566758,1676332.571428571,30.502108535134674
2016-03-16,-6528715,-6.969986880759986,1935857.2857142854,34.544112325994014
2016-03-17,-6772375,-7.250103046806385,2024806.7142857146,35.44736152044808
2016-03-18,-7036201.571428567,-7.555577123892079,2109382.428571428,36.27401062351096
2016-03-19,-7304014.285714284,-7.867117324038572,2189413.142857143,37.01649042408334
2016-03-20,-7260412.428571433,-7.829973106325126,2249211.2857142854,37.55620676868012
2016-03-21,-7668818.714285716,-8.303370727252675,2284443.2857142854,37.78630485305733
2016-03-22,-7941108.571428567,-8.62913416721356,2325447.1428571423,38.16136907026279
2016-03-23,-8404408.428571418,-9.178898440302774,2349839.1428571427,38.354162234942066
2016-03-24,-9406039.428571433,-10.385311256010013,2368878.1428571427,38.47720579904036
2016-03-25,-11539142.428571418,-13.033174087562802,2382157.7142857146,38.52014540218905
2016-03-26,-12076442.571428567,-13.713469944242146,2377780.4285714286,38.40966931219251
2016-03-27,-13086050,-15.023180829349098,2376182.7142857146,38.359961460335754
2016-03-28,-14415402.285714284,-16.859683055358406,2406199.428571428,38.67791109653812
2016-03-29,-14253803.714285716,-16.661150027563217,2421801.7142857146,38.74442163433987
2016-03-30,-13726466.571428567,-15.982702779653698,2488449.9999999995,39.6139971131767
2016-03-31,-12256895.142857134,-14.1018170519048,2510757.4285714286,39.74112791455463
2016-04-01,-9004235.857142866,-10.121217822630966,2558092.5714285714,40.29923155841815
2016-04-02,-6171079,-6.898108021717618,2604058.7142857146,40.79625520843836
2016-04-03,-4640950.571428567,-5.135068511596018,2637931.0000000005,41.11415597461357
2016-04-04,-1860776.7142857164,-2.0191082708849026,2661546.857142857,41.373633295647174
2016-04-05,193234.7142857164,0.20910477301084676,2680354,41.529380867864916
2016-04-06,325266.14285713434,0.3512200334152274,2650556.714285714,40.94007395953459
2016-04-07,175778.2857142836,0.1893833099921535,2661301.2857142854,41.003464617313945
2016-04-08,-589443.4285714179,-0.6341663390581678,2648584.285714286,40.72174125847493
2016-04-09,-2372428.7142857015,-2.548551209725828,2641237.1428571427,40.52562009788578
2016-04-10,-2553302.1428571492,-2.735608514688888,2639254.2857142854,40.40313868002872
2016-04-11,-3203752.571428582,-3.4247204362159147,2629030.5714285714,40.189877108153254
2016-04-12,-4875611.285714284,-5.206006462347914,2624057.9999999995,40.056600504953224
2016-04-13,-4944008.428571433,-5.2796301018860285,2606805.9999999995,39.79546977872997
2016-04-14,-5157987.714285716,-5.518413831989642,2587802,39.535257132512065
2016-04-15,-4902418.142857149,-5.247305032103607,2567577.714285714,39.244110455578834
2016-04-16,-4949381.2857142985,-5.303877111198953,2544766.0000000005,38.92255689497784
2016-04-17,-4831334.142857149,-5.183945032357853,2525665.285714286,38.63662051686311
2016-04-18,-4631520,-4.966455723560179,2508598,38.36042549737172
2016-04-19,-4394412.714285716,-4.71475547511711,2481495.4285714286,38.00730591453234
2016-04-20,-3749853.2857142836,-4.022658392647464,2473020.8571428577,37.85864012238007
2016-04-21,-3678644.428571433,-3.9561626181389893,2468353.571428571,37.742874333357875
2016-04-22,-3802717,-4.091615344667752,2466114.285714286,37.652119005892274
2016-04-23,-3675139.428571433,-3.950497866081141,2469031.8571428577,37.62121818906161
2016-04-24,-3676890.7142857164,-3.9479559968873397,2471857.5714285714,37.58371976846625
2016-04-25,-3751745.8571428657,-4.02557062266964,2473859.1428571427,37.52914075717955
2016-04-26,-1709572.7380952388,-1.8290090710888927,2492600.7142857146,37.68864079267906
2016-04-27,457990.05714285374,0.4890912689232164,2515491.2,37.89909749963012
2016-04-28,901330.6857142895,0.9579671574348694,2519526,37.87449248778957
2016-04-29,1287388.8857142776,1.3694418962310924,2533058.4571428574,38.03661298288716
2016-04-30,4881100.114285722,5.2079278049045445,2536393.228571428,38.08784021410319
2016-05-01,4879996.828571439,5.236415748043142,2538803.5428571426,38.15985072080309
2016-05-02,3856392.200000003,4.194380588884224,2536425.257142857,38.140483689846896
2016-05-03,-535381.4047618955,-0.5914985298661748,2490463.2857142854,37.64731387471084
2016-05-04,-3986762.2857142836,-4.453587968235725,2444042.285714286,37.142585330183145
2016-05-05,-6050666.857142851,-6.907997889357271,2407069.8571428573,36.78039779785042
2016-05-06,-7655509,-8.848387541881928,2362726.8571428573,36.28389275767789
2016-05-07,-10847471.571428582,-12.615700834052667,2320711.0000000005,35.825501662486474
2016-05-08,-11460174.285714284,-13.379448175237135,2286227.0000000005,35.44202403869844
2016-05-09,-11112504.428571433,-12.93164139337438,2258222.9999999995,35.15751127015463
2016-05-10,-10751057.714285716,-12.407353554990324,2255720.0000000005,35.09886473798709
2016-05-11,-10504341.85714285,-12.063431655381239,2244759.8571428577,34.92822776129788
2016-05-12,-8984689.714285716,-10.150957053967899,2247771.714285714,34.9088482794919
2016-05-13,-7211486.142857149,-8.07131438594617,2256927.1428571427,34.97343657504543
2016-05-14,-6905431.571428582,-7.703931527891792,2267578.1428571427,35.038694100060304
2016-05-15,-6607080.571428567,-7.357934107063216,2270412.428571428,35.030492262257404
2016-05-16,-6932040.285714284,-7.736105964126465,2275112.8571428573,35.01945148823967
2016-05-17,-6897099.571428582,-7.68508047061972,2283660.428571429,35.08890272683818
2016-05-18,-6745428.428571433,-7.509449377413552,2294427.428571428,35.201044727025085
